affiliation_id,person_id,party_id,start_date,end_date,role,source_ids
AFF-5c75dd40d05f,TNP-00539,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-b3b9c17f47fc,TNP-00540,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-a66b4e7bb162,TNP-00541,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-255e168cccda,TNP-00542,PTY-efb0809dca6b,,,,MARSAD_ANC
AFF-88ee8dab1817,TNP-00543,PTY-b0109a4f5966,,,,MARSAD_ANC
AFF-051d72a3c692,TNP-00544,PTY-9b0efa626777,,,,MARSAD_ANC
AFF-3b52aaa55d91,TNP-00545,PTY-CPR,,,,MARSAD_ANC
AFF-60d575b77d04,TNP-00546,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-90fb6357e783,TNP-00547,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-cfd43684da77,TNP-00548,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-409805e52d14,TNP-00007,PTY-2b6219e30267,,,,MARSAD_ANC
AFF-6e964284cc8a,TNP-00549,PTY-efb0809dca6b,,,,MARSAD_ANC
AFF-cc7b4d10d6b0,TNP-00550,PTY-CPR,,,,MARSAD_ANC
AFF-c1a5e733286a,TNP-00551,PTY-bbfe9bb6d793,,,,MARSAD_ANC
AFF-9f3e756cb404,TNP-00357,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-4f6e317c0f3f,TNP-00332,PTY-efb0809dca6b,,,,MARSAD_ANC
AFF-a8585f43cb6e,TNP-00552,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-7a87bb074cd2,TNP-00553,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-8da8babd5432,TNP-00554,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-1445e8f414a7,TNP-00555,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-a346150ab53d,TNP-00556,PTY-ENNAHDHA,,,,MARSAD_ANC
