person_id,assembly_id,plenary_attendance_rate,plenary_denominator,committee_attendance_rate,committee_denominator,vote_participation_rate,vote_denominator,vote_discipline_rate,n_written_questions,n_oral_questions,source_ids
TNP-00212,ARP-2019,0.9735,113,0.9455,55,0.8119,335,0.7075,,,MARSAD_MAJLES
TNP-00213,ARP-2019,0.6161,112,0.3143,35,0.4388,335,0.4149,,,MARSAD_MAJLES
TNP-00214,ARP-2019,0.7321,112,0.7273,33,0.8448,335,0.7731,,,MARSAD_MAJLES
TNP-00215,ARP-2019,0.8839,112,0.8448,58,0.6955,335,0.5791,,,MARSAD_MAJLES
TNP-00216,ARP-2019,0.7143,112,0.1739,23,0.4716,335,0.3582,,,MARSAD_MAJLES
TNP-00217,ARP-2019,0.8230,113,0.8154,65,0.7791,335,0.6687,,,MARSAD_MAJLES
TNP-00218,ARP-2019,0.7699,113,0.6835,79,0.4030,335,0.3731,,,MARSAD_MAJLES
TNP-00219,ARP-2019,0.8125,112,0.8226,62,0.7970,335,0.5791,,,MARSAD_MAJLES
TNP-00220,ARP-2019,0.5804,112,0.2895,76,0.2478,335,0.2269,,,MARSAD_MAJLES
TNP-00221,ARP-2019,0.7679,112,0.9077,65,0.9821,335,0.8657,,,MARSAD_MAJLES
TNP-00222,ARP-2019,0.7317,41,0.2381,21,0.9070,43,,,,MARSAD_MAJLES
TNP-00223,ARP-2019,0.8142,113,0.7975,79,0.7403,335,0.6776,,,MARSAD_MAJLES
TNP-00224,ARP-2019,0.7411,112,0.1429,49,0.7910,335,0.6925,,,MARSAD_MAJLES
TNP-00225,ARP-2019,0.6071,112,0.2899,69,0.4090,335,0.3493,,,MARSAD_MAJLES
TNP-00226,ARP-2019,0.6991,113,0.5102,49,0.6239,335,0.5493,,,MARSAD_MAJLES
TNP-00227,ARP-2019,0.7946,112,0.5091,55,0.5582,335,0.4507,,,MARSAD_MAJLES
TNP-00228,ARP-2019,0.9735,113,0.5077,65,0.8328,335,0.7254,,,MARSAD_MAJLES
TNP-00065,ARP-2019,0.9107,112,0.4889,45,0.4478,335,0.2925,,,MARSAD_MAJLES
TNP-00229,ARP-2019,0.8036,112,0.5882,51,0.8239,335,,,,MARSAD_MAJLES
TNP-00230,ARP-2019,0.8125,112,0.4545,33,0.6687,335,0.4746,,,MARSAD_MAJLES
TNP-00231,ARP-2019,0.7080,113,0.2969,64,0.7463,335,0.6985,,,MARSAD_MAJLES
TNP-00232,ARP-2019,0.8036,112,0.7606,71,0.8000,335,0.6866,,,MARSAD_MAJLES
TNP-00233,ARP-2019,0.8304,112,0.4237,59,0.7881,335,0.7075,,,MARSAD_MAJLES
TNP-00234,ARP-2019,0.8496,113,0.8906,64,0.8299,335,0.7194,,,MARSAD_MAJLES
TNP-00235,ARP-2019,0.7589,112,0.4375,32,0.4119,335,0.3224,,,MARSAD_MAJLES
TNP-00236,ARP-2019,0.8839,112,0.6250,56,0.8507,335,0.7433,,,MARSAD_MAJLES
TNP-00237,ARP-2019,0.8214,112,0.2537,67,0.7493,335,0.6657,,,MARSAD_MAJLES
TNP-00238,ARP-2019,0.7522,113,0.5745,47,0.6716,335,0.5552,,,MARSAD_MAJLES
TNP-00239,ARP-2019,0.5625,112,0.0000,45,0.5373,335,0.4478,,,MARSAD_MAJLES
TNP-00240,ARP-2019,0.6964,112,0.5479,73,0.6478,335,0.6030,,,MARSAD_MAJLES
TNP-00241,ARP-2019,0.8036,112,0.7576,33,0.8418,335,0.7343,,,MARSAD_MAJLES
TNP-00242,ARP-2019,0.7257,113,0.9697,33,0.6299,335,0.5881,,,MARSAD_MAJLES
TNP-00243,ARP-2019,0.4107,112,0.0806,62,0.1284,335,0.1224,,,MARSAD_MAJLES
TNP-00244,ARP-2019,0.8319,113,0.9286,56,0.6806,335,0.3642,,,MARSAD_MAJLES
TNP-00245,ARP-2019,0.6991,113,0.1406,64,0.5313,335,0.3552,,,MARSAD_MAJLES
TNP-00246,ARP-2019,0.8230,113,0.5000,54,0.7522,335,0.6239,,,MARSAD_MAJLES
TNP-00247,ARP-2019,0.8407,113,0.6327,49,0.7552,335,0.6507,,,MARSAD_MAJLES
TNP-00248,ARP-2019,0.6429,112,0.6462,65,0.7940,335,0.5403,,,MARSAD_MAJLES
TNP-00249,ARP-2019,0.9115,113,0.7143,49,0.5672,335,0.5104,,,MARSAD_MAJLES
TNP-00250,ARP-2019,0.8214,112,0.7885,52,0.8000,335,0.6507,,,MARSAD_MAJLES
TNP-00251,ARP-2019,0.3661,112,0.0606,33,0.2925,335,0.2746,,,MARSAD_MAJLES
TNP-00252,ARP-2019,0.7788,113,0.4464,56,0.6836,335,0.6000,,,MARSAD_MAJLES
TNP-00253,ARP-2019,0.9204,113,0.8696,23,0.6299,335,0.5075,,,MARSAD_MAJLES
TNP-00254,ARP-2019,0.8750,112,0.5294,51,0.7045,335,0.6000,,,MARSAD_MAJLES
TNP-00255,ARP-2019,0.6518,112,0.0526,19,0.1881,335,0.1254,,,MARSAD_MAJLES
TNP-00256,ARP-2019,0.5536,112,0.6769,65,0.3373,335,0.2597,,,MARSAD_MAJLES
TNP-00257,ARP-2019,0.7788,113,0.6329,79,0.7940,335,0.7493,,,MARSAD_MAJLES
TNP-00258,ARP-2019,0.4107,112,,,0.3373,335,0.3015,,,MARSAD_MAJLES
TNP-00259,ARP-2019,0.8750,112,0.8361,61,0.8000,335,0.7373,,,MARSAD_MAJLES
TNP-00260,ARP-2019,0.6786,112,0.3939,33,0.6209,335,0.5104,,,MARSAD_MAJLES
TNP-00261,ARP-2019,0.8407,113,0.3860,57,0.7672,335,0.6657,,,MARSAD_MAJLES
TNP-00262,ARP-2019,0.7589,112,0.5246,61,0.5493,335,0.4448,,,MARSAD_MAJLES
TNP-00263,ARP-2019,0.8393,112,0.8354,79,0.9403,335,0.8239,,,MARSAD_MAJLES
TNP-00264,ARP-2019,0.4643,112,0.0312,32,0.4119,335,0.3910,,,MARSAD_MAJLES
TNP-00265,ARP-2019,0.5089,112,0.2812,32,0.4716,335,0.3642,,,MARSAD_MAJLES
TNP-00266,ARP-2019,0.6786,112,0.0000,1,0.4836,335,0.0209,,,MARSAD_MAJLES
TNP-00267,ARP-2019,0.7946,112,1.0000,58,0.8000,335,0.6985,,,MARSAD_MAJLES
TNP-00268,ARP-2019,0.8850,113,0.5690,58,0.6657,335,0.3791,,,MARSAD_MAJLES
TNP-00269,ARP-2019,0.5804,112,0.2857,35,0.6090,335,0.5403,,,MARSAD_MAJLES
TNP-00270,ARP-2019,0.9018,112,0.6203,79,0.7164,335,0.6269,,,MARSAD_MAJLES
TNP-00271,ARP-2019,0.7345,113,0.8276,58,0.7701,335,0.7104,,,MARSAD_MAJLES
TNP-00272,ARP-2019,0.6250,112,0.7273,33,0.7612,335,0.7134,,,MARSAD_MAJLES
TNP-00273,ARP-2019,0.6071,112,0.1429,63,0.4328,335,0.2955,,,MARSAD_MAJLES
TNP-00274,ARP-2019,0.8839,112,0.8101,79,0.8179,335,0.7164,,,MARSAD_MAJLES
TNP-00275,ARP-2019,0.5714,112,0.3846,65,0.3493,335,0.2657,,,MARSAD_MAJLES
TNP-00276,ARP-2019,0.1339,112,0.0000,65,0.1552,335,0.1343,,,MARSAD_MAJLES
TNP-00277,ARP-2019,0.6814,113,0.6750,40,0.6687,335,0.6269,,,MARSAD_MAJLES
TNP-00278,ARP-2019,0.7411,112,0.7273,33,0.9194,335,0.8030,,,MARSAD_MAJLES
TNP-00279,ARP-2019,0.9027,113,0.9077,65,0.6478,335,0.4955,,,MARSAD_MAJLES
TNP-00280,ARP-2019,0.6875,112,0.4242,33,0.4418,335,0.3075,,,MARSAD_MAJLES
TNP-00281,ARP-2019,0.8393,112,0.6786,56,0.4985,335,0.4119,,,MARSAD_MAJLES
TNP-00282,ARP-2019,0.8661,112,0.6207,58,0.6627,335,0.5731,,,MARSAD_MAJLES
TNP-00283,ARP-2019,0.8571,112,0.5682,44,0.6448,335,0.5612,,,MARSAD_MAJLES
TNP-00284,ARP-2019,0.5982,112,0.0625,32,0.6060,335,0.5373,,,MARSAD_MAJLES
TNP-00285,ARP-2019,0.8304,112,0.8929,56,0.8687,335,0.7970,,,MARSAD_MAJLES
TNP-00286,ARP-2019,0.8673,113,0.8448,58,0.7731,335,0.6537,,,MARSAD_MAJLES
TNP-00287,ARP-2019,0.7965,113,0.8308,65,0.9493,335,0.7881,,,MARSAD_MAJLES
TNP-00288,ARP-2019,0.8393,112,0.8354,79,0.7045,335,0.4985,,,MARSAD_MAJLES
TNP-00289,ARP-2019,0.7611,113,0.6066,61,0.4209,335,0.1373,,,MARSAD_MAJLES
TNP-00290,ARP-2019,0.9167,12,1.0000,5,1.0000,7,,,,MARSAD_MAJLES
TNP-00291,ARP-2019,0.7321,112,0.6923,13,0.4358,335,,,,MARSAD_MAJLES
TNP-00292,ARP-2019,0.4911,112,0.2857,84,0.2060,335,0.1672,,,MARSAD_MAJLES
TNP-00293,ARP-2019,0.8304,112,0.8205,39,0.3463,335,0.2896,,,MARSAD_MAJLES
TNP-00294,ARP-2019,0.7589,112,0.3881,67,0.7910,335,0.6896,,,MARSAD_MAJLES
TNP-00295,ARP-2019,0.9115,113,0.4412,68,0.7493,335,0.6657,,,MARSAD_MAJLES
TNP-00296,ARP-2019,0.4690,113,0.3667,60,0.5791,335,0.5433,,,MARSAD_MAJLES
TNP-00297,ARP-2019,0.9375,112,0.9200,25,0.5493,335,0.4478,,,MARSAD_MAJLES
TNP-00298,ARP-2019,0.8036,112,0.5410,61,0.6507,335,0.5672,,,MARSAD_MAJLES
TNP-00299,ARP-2019,0.7946,112,0.5714,28,0.7672,335,0.6716,,,MARSAD_MAJLES
TNP-00300,ARP-2019,0.6637,113,0.3582,67,0.4806,335,0.4388,,,MARSAD_MAJLES
TNP-00301,ARP-2019,0.8661,112,0.9688,64,0.7821,335,0.6627,,,MARSAD_MAJLES
TNP-00302,ARP-2019,0.8407,113,0.8525,61,0.8567,335,0.6657,,,MARSAD_MAJLES
TNP-00303,ARP-2019,0.8142,113,0.4400,25,0.8239,335,0.7552,,,MARSAD_MAJLES
TNP-00304,ARP-2019,0.7589,112,0.4510,51,0.5403,335,0.2567,,,MARSAD_MAJLES
TNP-00305,ARP-2019,0.8142,113,0.7500,64,0.7731,335,0.7164,,,MARSAD_MAJLES
TNP-00306,ARP-2019,0.5000,112,0.0385,52,0.3821,335,0.3045,,,MARSAD_MAJLES
TNP-00307,ARP-2019,0.5638,94,0.2812,32,0.7186,167,0.6407,,,MARSAD_MAJLES
TNP-00308,ARP-2019,0.6786,112,0.5156,64,0.8537,335,0.7522,,,MARSAD_MAJLES
TNP-00309,ARP-2019,0.8761,113,0.3571,70,0.6836,335,0.5821,,,MARSAD_MAJLES
TNP-00310,ARP-2019,0.8214,112,0.8571,56,0.5910,335,0.4985,,,MARSAD_MAJLES
TNP-00311,ARP-2019,0.5000,112,0.2750,40,0.4149,335,0.3701,,,MARSAD_MAJLES
