career_id,person_id,seq,role_raw,role_en,organisation_raw,organisation_id,sector,is_ministerial,start_date,end_date,date_precision,relative_to_mandate,extraction_method,confidence,source_ids
CAR-22d67711199b,TNP-00416,2,militaire,,,,military,,,,unknown,unknown,rule,low,MARSAD_ANC
CAR-25a0a46e50ed,TNP-00417,1,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-31f00327201b,TNP-00418,1,avocat,,avocate,ORG-6c5601afbae3,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-2eb41c9e596b,TNP-00420,1,enseignante,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-c1d1b74289c8,TNP-00422,1,enseignante,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-ed9dcebe6818,TNP-00423,1,membre du bureau politique,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-ca5e8e3bc08f,TNP-00423,2,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-af00a53d879a,TNP-00429,1,Médecin,,,,health,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-3e28898817f9,TNP-00364,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-b29b670df73e,TNP-00430,1,militaire,,,,military,,,,unknown,unknown,rule,low,MARSAD_ANC
CAR-afc925f3a099,TNP-00438,1,ministre des Domaines de l'État et des Affaires foncières depuis le,,,,state_executive,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-27237cae239e,TNP-00438,2,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-2cd5a648c311,TNP-00439,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-5845fce3daed,TNP-00439,2,Imam,,,,religious,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-2251079d6dfe,TNP-00441,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-b86baa8e7dce,TNP-00442,1,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-e2c52ffa01ed,TNP-00443,1,médecin,,,,health,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-e4cc6df1895f,TNP-00443,2,Professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-ad2801301cc4,TNP-00443,3,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-1d9a9f08e798,TNP-00444,1,avocat,,avocate,ORG-6c5601afbae3,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-91f88a8a8f2f,TNP-00445,1,avocat,,avocate,ORG-6c5601afbae3,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-e7fa6ece6355,TNP-00447,1,Professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-42d1a408b7df,TNP-00448,1,enseignant,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-fafa3b31be53,TNP-00449,1,enseignant,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-d028c1002db3,TNP-00450,1,membre du bureau politique du Mouvement des Démocrates Socialistes (MDS) puis membre d,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-37c7202227d3,TNP-00450,2,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-62e88d6d16ae,TNP-00450,3,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-086f969ada15,TNP-00451,1,avocat,,avocate,ORG-6c5601afbae3,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-b798db77475e,TNP-00452,1,homme d'affaires,,,,business,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-9e4177a972c7,TNP-00454,1,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-06938628a4a3,TNP-00454,2,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-5d9f32011f80,TNP-00455,1,membre du bureau politique du Congrès Pour la République (CPR),,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-c6537dbfd5d3,TNP-00455,2,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-d9cf22cbbe94,TNP-00458,1,juge,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-ea5bc14207c7,TNP-00460,1,médecin,,,,health,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-552aa64f86c5,TNP-00461,1,ministre de Bourguiba,,,,state_executive,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-7908af9f1999,TNP-00461,2,Professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-813d46fb6f10,TNP-00461,3,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-914cc9b1f08e,TNP-00462,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-5bf720cdb51f,TNP-00463,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-a03311adacdb,TNP-00465,1,instituteur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-246e1a383a48,TNP-00466,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-494ab7839c8e,TNP-00468,1,membre du syndicat,,,,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-3919beeda092,TNP-00468,2,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
