person_id,name_lat,bloc,closest_allies_in_own_bloc,closest_ally,closest_ally_bloc,closest_ally_agreement,mean_agreement_of_top3,times_chosen_by_others,bloc_observed_share,bloc_chance_share,bloc_lift
TNP-00497,Lobna Jeribi,Ettakatol,2,Jalel Bouzid,Ettakatol,0.9829,0.9695,5,0.6667,0.0509,13.091
TNP-00498,Mabrouk Hrizi,Loyalty to the Revolution,2,Azed Badi,Loyalty to the Revolution,0.8303,0.822,0,0.4333,0.0417,10.4
TNP-00499,Mabrouka Mbarek,CPR,3,Ikbel Msadaa,CPR,0.968,0.9512,9,0.7857,0.0602,13.055
TNP-00500,Meherzia Labidi,Ennahdha,1,Mustapha Ben Jaafar,Ettakatol,1.0,0.9813,25,0.9272,0.3981,2.329
TNP-00501,Mohsen Kaabi,Ennahdha,3,Hedi Ben Braham,Ennahdha,0.958,0.9553,0,0.9272,0.3981,2.329
TNP-00502,Mohamed Habib Harguem,Ettakatol,2,Mustapha Ben Jaafar,Ettakatol,0.9248,0.9163,2,0.6667,0.0509,13.091
TNP-00503,Mohamed Salah Chairat,Democratic Transition,0,Mustapha Ben Jaafar,Ettakatol,0.9104,0.895,3,0.4048,0.0602,6.725
TNP-00504,Mohamed Tahar Ilahi,No bloc,1,Mustapha Ben Jaafar,Ettakatol,0.9483,0.8911,1,0.5897,0.2361,2.498
TNP-00505,Mohamed Tahar Tlili,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9785,0.9762,4,0.9272,0.3981,2.329
TNP-00506,Mohamed Elarbi Fadhel Moussa,Democratic Bloc,3,Samir Bettaieb,Democratic Bloc,0.9333,0.9186,4,0.6481,0.0787,8.235
TNP-00507,Mohamed Karray Jerbi,Loyalty to the Revolution,2,Rafik Tlili,Loyalty to the Revolution,0.8298,0.8273,1,0.4333,0.0417,10.4
TNP-00508,Moncef Cheikhrouhou,Democratic Alliance,1,Mustapha Ben Jaafar,Ettakatol,0.9518,0.9226,6,0.7,0.0417,16.8
TNP-00509,Mohamed Neji Gharsalli,No bloc,0,Ali Fares,Ennahdha,0.8944,0.8857,1,0.5897,0.2361,2.498
TNP-00510,Mohamed Saidi,Ennahdha,3,Basma Jebali,Ennahdha,0.9502,0.9414,0,0.9272,0.3981,2.329
TNP-00511,Mohamed Ben Mabrouk Hamdi,Democratic Alliance,3,Mehdi Ben Gharbia,Democratic Alliance,0.9603,0.9446,5,0.7,0.0417,16.8
TNP-00512,Mahmoud El May,No bloc,3,Kais Mokhtar,No bloc,0.9007,0.8844,1,0.5897,0.2361,2.498
TNP-00513,Mohamed Essghaier,Ennahdha,3,Mahmoud Gouiaa,Ennahdha,0.9797,0.975,1,0.9272,0.3981,2.329
TNP-00514,Mohamed Gahbich,Democratic Alliance,3,Najla Bourial,Democratic Alliance,0.9783,0.9458,5,0.7,0.0417,16.8
TNP-00515,Mohamed Nejib Khila,No bloc,1,Chokri Yaich,Democratic Alliance,0.8435,0.8392,0,0.5897,0.2361,2.498
TNP-00516,Mohamed Ben Youssef Hamdi,No bloc,3,Rim Thairi,No bloc,0.9217,0.8894,4,0.5897,0.2361,2.498
TNP-00517,Mohamed Chafik Zorkin,Democratic Alliance,0,Jalel Farhat,Democratic Transition,0.8333,0.8322,2,0.7,0.0417,16.8
TNP-00518,Mohamed Abdelmonem Krir,No bloc,2,Rabiaa Najlaoui,No bloc,0.9161,0.8556,1,0.5897,0.2361,2.498
TNP-00519,Mohamed Ali Nasri,No bloc,2,Dhamir Mannai,No bloc,0.8786,0.8623,2,0.5897,0.2361,2.498
TNP-00520,Mohamed Lotfi Ben Mesbah,Democratic Bloc,0,Lobna Jeribi,Ettakatol,0.9394,0.9169,2,0.6481,0.0787,8.235
TNP-00521,Mohamed Nejib Hosni,No bloc,0,Abdessattar Dhifi,Loyalty to the Revolution,0.8861,0.8808,0,0.5897,0.2361,2.498
TNP-00522,Mohamed Nizar Kacem,No bloc,1,Wissem Yassine,No bloc,0.9477,0.9327,17,0.5897,0.2361,2.498
TNP-00523,Mahmoud Gouiaa,Ennahdha,3,Farida Labidi,Ennahdha,0.9936,0.9906,25,0.9272,0.3981,2.329
TNP-00524,Mahmoud Baroudi,Democratic Alliance,2,Mohamed Ben Mabrouk Hamdi,Democratic Alliance,0.8803,0.875,0,0.7,0.0417,16.8
TNP-00525,Mourad Amdouni,No bloc,3,Fadhel Saghraoui,No bloc,0.8889,0.8664,4,0.5897,0.2361,2.498
TNP-00526,Mustapha Ben Jaafar,Ettakatol,1,Meherzia Labidi,Ennahdha,1.0,0.9969,34,0.6667,0.0509,13.091
TNP-00527,Moez Kammoun,Democratic Transition,2,Mohamed Nizar Kacem,No bloc,0.8719,0.8599,2,0.4048,0.0602,6.725
TNP-00528,Moufida Marzouki,Ennahdha,3,Hajer Mnifi,Ennahdha,0.9861,0.9826,7,0.9272,0.3981,2.329
TNP-00529,Mouna Ben Nasr,No bloc,3,Mohamed Nizar Kacem,No bloc,0.7923,0.7769,0,0.5897,0.2361,2.498
TNP-00530,Monia Ibrahim,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9574,0.95,0,0.9272,0.3981,2.329
TNP-00531,Monia Gasri,Ennahdha,3,Abdelkader Kadri,Ennahdha,0.9528,0.9504,0,0.9272,0.3981,2.329
TNP-00532,Mounir Ben Hnia,Ennahdha,3,Nabila Askri Snoussi,Ennahdha,0.9799,0.9788,10,0.9272,0.3981,2.329
TNP-00533,Mounira Omri,Ennahdha,3,Mohamed Tahar Tlili,Ennahdha,0.9481,0.9438,0,0.9272,0.3981,2.329
TNP-00534,Mouldi Zidi,No bloc,2,Aymen Zouaghi,No bloc,0.8723,0.8406,2,0.5897,0.2361,2.498
TNP-00535,Maya Jeribi,No bloc,2,Issam Chebbi,No bloc,0.9223,0.9063,5,0.5897,0.2361,2.498
TNP-00536,Nadia Chaabane,Democratic Bloc,3,Ahmed Brahim,Democratic Bloc,0.9031,0.8992,3,0.6481,0.0787,8.235
TNP-00537,Nabila Askri Snoussi,Ennahdha,3,Hajer Mnifi,Ennahdha,0.9865,0.9838,13,0.9272,0.3981,2.329
TNP-00538,Nabiha Torjmane,Ennahdha,3,Habiba Triki,Ennahdha,0.9808,0.9757,5,0.9272,0.3981,2.329
TNP-00539,Najla Bourial,Democratic Alliance,3,Mohamed Gahbich,Democratic Alliance,0.9783,0.9488,5,0.7,0.0417,16.8
TNP-00540,Nejib Mrad,Ennahdha,3,Habib Ellouz,Ennahdha,0.905,0.8895,0,0.9272,0.3981,2.329
TNP-00541,Nejiba Beryoul,Ennahdha,3,Hafedh Ibrahim Lassoued,Ennahdha,0.9697,0.9668,3,0.9272,0.3981,2.329
TNP-00542,Nizar Makhloufi,Loyalty to the Revolution,0,Dhamir Mannai,No bloc,0.8343,0.8309,0,0.4333,0.0417,10.4
TNP-00543,Noômane Fehri,Democratic Bloc,3,Samira Merai,Democratic Bloc,0.9219,0.9137,1,0.6481,0.0787,8.235
