person_id,name_lat,bloc,window,strong_ties,strong_ties_cross_bloc
TNP-00509,Mohamed Neji Gharsalli,No bloc,before,43,38
TNP-00510,Mohamed Saidi,Ennahdha,before,96,12
TNP-00511,Mohamed Ben Mabrouk Hamdi,Democratic Alliance,before,7,5
TNP-00512,Mahmoud El May,No bloc,before,1,1
TNP-00513,Mohamed Essghaier,Ennahdha,before,98,14
TNP-00514,Mohamed Gahbich,Democratic Alliance,before,9,7
TNP-00515,Mohamed Nejib Khila,No bloc,before,8,5
TNP-00516,Mohamed Ben Youssef Hamdi,No bloc,before,0,0
TNP-00518,Mohamed Abdelmonem Krir,No bloc,before,3,2
TNP-00519,Mohamed Ali Nasri,No bloc,before,4,1
TNP-00521,Mohamed Nejib Hosni,No bloc,before,62,59
TNP-00522,Mohamed Nizar Kacem,No bloc,before,105,99
TNP-00523,Mahmoud Gouiaa,Ennahdha,before,98,14
TNP-00524,Mahmoud Baroudi,Democratic Alliance,before,14,11
TNP-00525,Mourad Amdouni,No bloc,before,3,1
TNP-00526,Mustapha Ben Jaafar,Ettakatol,before,15,15
TNP-00528,Moufida Marzouki,Ennahdha,before,94,11
TNP-00529,Mouna Ben Nasr,No bloc,before,6,4
TNP-00530,Monia Ibrahim,Ennahdha,before,99,16
TNP-00531,Monia Gasri,Ennahdha,before,98,14
TNP-00532,Mounir Ben Hnia,Ennahdha,before,100,16
TNP-00533,Mounira Omri,Ennahdha,before,87,7
TNP-00535,Maya Jeribi,No bloc,before,1,0
TNP-00536,Nadia Chaabane,Democratic Bloc,before,11,6
TNP-00537,Nabila Askri Snoussi,Ennahdha,before,98,14
TNP-00538,Nabiha Torjmane,Ennahdha,before,86,9
TNP-00539,Najla Bourial,Democratic Alliance,before,15,11
TNP-00540,Nejib Mrad,Ennahdha,before,97,13
TNP-00541,Nejiba Beryoul,Ennahdha,before,97,14
TNP-00543,Noômane Fehri,Democratic Bloc,before,1,1
TNP-00544,Noureddine Mrabti,Democratic Transition,before,10,10
TNP-00545,Naoufel Ghribi,CPR,before,0,0
TNP-00546,Hajer Mnifi,Ennahdha,before,88,9
TNP-00547,Hajer Azaiez,Ennahdha,before,71,5
TNP-00548,Hela Hammi,Ennahdha,before,94,12
TNP-00549,Hichem Ben Jemaa,CPR,before,28,23
TNP-00550,Haythem Belgacem,CPR,before,25,23
TNP-00551,Wissem Yassine,No bloc,before,93,88
TNP-00552,Kamel Ben Romdhane,Ennahdha,before,98,14
TNP-00553,Soulef Ksantini,Ennahdha,before,98,15
TNP-00554,Souhir Dardouri,Democratic Transition,before,2,2
TNP-00555,Mokhtar Lamouchi,Ennahdha,before,89,8
TNP-00556,Habib Bribech,Ennahdha,before,94,11
TNP-00557,Bechir Nefzi,CPR,before,2,0
TNP-00558,Noura Ben Hassen,CPR,before,5,0
TNP-00559,Jamal Bouajaja,Ennahdha,before,97,13
TNP-00560,Frej Ben Amor,Ennahdha,before,96,12
TNP-00561,Khalid Belhaj,No bloc,before,98,92
TNP-00562,Nafissa Marzouki,Ettakatol,before,5,3
TNP-00563,Warda Turki,Ennahdha,before,84,7
