person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00421,Dalila Babba,Ennahdha,2,CMT-400b91a3bed5 CMT-e6b2fac8e5c7,Special 5 | Legislative 6,38,1,2.0
TNP-00508,Mahmoud El May,No bloc,2,CMT-400b91a3bed5 CMT-e6b2fac8e5c7,Special 5 | Legislative 6,38,1,2.0
TNP-00525,Mouna Ben Nasr,No bloc,2,CMT-3b890b1f160a CMT-8978fc995f04,Special 4 | Legislative 5,38,1,2.0
TNP-00555,Jamal Bouajaja,Ennahdha,2,CMT-8978fc995f04 CMT-f2d2d05db58f,Legislative 5 | Legislative 4,38,1,2.0
TNP-00556,Frej Ben Amor,Ennahdha,2,CMT-8978fc995f04 CMT-e6b2fac8e5c7,Legislative 5 | Legislative 6,38,0,2.0
TNP-00452,Slaheddine Zahaf,Democratic Bloc,2,CMT-3b890b1f160a CMT-b46554e2045e,Special 4 | Legislative 7,38,0,2.0
TNP-00458,Aicha Dhaouadi,Ennahdha,2,CMT-3b890b1f160a CMT-e6b2fac8e5c7,Special 4 | Legislative 6,37,2,2.0
TNP-00534,Nabiha Torjmane,Ennahdha,2,CMT-13e8b4757c0d CMT-400b91a3bed5,Legislative 2 | Special 5,37,3,2.0
TNP-00540,Noureddine Mrabti,Democratic Transition,2,CMT-7249209246b3 CMT-e6b2fac8e5c7,Constituent 6 | Legislative 6,37,2,2.0
TNP-00446,Sonia Toumia,Ennahdha,2,CMT-499d23e8523f CMT-e6b2fac8e5c7,Special 6 | Legislative 6,37,1,2.0
TNP-00553,Bechir Nefzi,CPR,2,CMT-499d23e8523f CMT-e6b2fac8e5c7,Special 6 | Legislative 6,37,1,2.0
TNP-00516,Mohamed Lotfi Ben Mesbah,Democratic Bloc,2,CMT-499d23e8523f CMT-52252f4274f6,Special 6 | Legislative 3,37,2,2.0
TNP-00550,Souhir Dardouri,Democratic Transition,2,CMT-336c11e63d66 CMT-7249209246b3,Special 2 | Constituent 6,36,5,2.0
TNP-00420,Khira Sghairi,Ennahdha,2,CMT-4d57513fbffc CMT-e6b2fac8e5c7,Constituent 5 | Legislative 6,36,3,2.0
TNP-00542,Hajer Mnifi,Ennahdha,2,CMT-4d57513fbffc CMT-b46554e2045e,Constituent 5 | Legislative 7,36,2,2.0
TNP-00425,Rabiaa Najlaoui,No bloc,2,CMT-178580c40e35 CMT-b46554e2045e,Constituent 1 | Legislative 7,36,3,2.0
TNP-00520,Mahmoud Baroudi,Democratic Alliance,2,CMT-499d23e8523f CMT-b46554e2045e,Special 6 | Legislative 7,36,1,2.0
TNP-00455,Tarek Labidi,Ettakatol,2,CMT-13e8b4757c0d CMT-c6c8260db7f4,Legislative 2 | Constituent 4,36,5,2.0
TNP-00301,Neji Jmal,Ennahdha,2,CMT-545e8558a206 CMT-78e966e1d482,Constituent 3 | Special 3,36,6,2.0
TNP-00373,Ahmed Nejib Chebbi,No bloc,2,CMT-545e8558a206 CMT-f2d2d05db58f,Constituent 3 | Legislative 4,36,5,2.0
TNP-00385,Sadok Chourou,Ennahdha,2,CMT-4e91930c5e8b CMT-f6f9e9d7cbb2,Constituent 2 | Legislative 8,36,1,2.0
TNP-00450,Salah Chouaib,No bloc,2,CMT-400b91a3bed5 CMT-b46554e2045e,Special 5 | Legislative 7,36,2,2.0
TNP-00505,Mohamed Neji Gharsalli,No bloc,2,CMT-c6c8260db7f4 CMT-f6f9e9d7cbb2,Constituent 4 | Legislative 8,36,1,2.0
TNP-00513,Mohamed Chafik Zorkin,Democratic Alliance,2,CMT-c6c8260db7f4 CMT-f6f9e9d7cbb2,Constituent 4 | Legislative 8,36,1,2.0
TNP-00368,Ibrahim Kassas,No bloc,2,CMT-7249209246b3 CMT-b46554e2045e,Constituent 6 | Legislative 7,35,3,2.0
TNP-00529,Mounira Omri,Ennahdha,2,CMT-7249209246b3 CMT-b46554e2045e,Constituent 6 | Legislative 7,35,3,2.0
TNP-00497,Mohsen Kaabi,Ennahdha,2,CMT-499d23e8523f CMT-c6c8260db7f4,Special 6 | Constituent 4,35,5,2.0
TNP-00440,Slimane Hlal,Ennahdha,2,CMT-178580c40e35 CMT-f6f9e9d7cbb2,Constituent 1 | Legislative 8,34,3,2.0
TNP-00502,Mohamed Elarbi Fadhel Moussa,Democratic Bloc,2,CMT-4d57513fbffc CMT-663b2e4cb3f4,Constituent 5 | Joint 1,33,2,2.0
TNP-00448,Chokri Kastalli,Democratic Alliance,2,CMT-12bc734f9df1 CMT-cbc65065020c,Legislative 1 | Special 7,32,0,2.0
TNP-00382,Habib Khedher,Ennahdha,2,CMT-5d1546fffb75 CMT-663b2e4cb3f4,Special 1 | Joint 1,31,6,2.0
TNP-00494,Mabrouk Hrizi,Loyalty to the Revolution,2,CMT-663b2e4cb3f4 CMT-b46554e2045e,Joint 1 | Legislative 7,30,3,2.0
TNP-00367,Ibrahim Hamdi,Loyalty to the Revolution,2,CMT-7249209246b3 CMT-cbc65065020c,Constituent 6 | Special 7,30,0,2.0
TNP-00141,Anouar Marzouki,Democratic Transition,1,CMT-12bc734f9df1,Legislative 1,22,0,1.0
TNP-00428,Rim Thairi,No bloc,1,CMT-12bc734f9df1,Legislative 1,22,0,1.0
TNP-00431,Samia Ferchichi,Ennahdha,1,CMT-12bc734f9df1,Legislative 1,22,0,1.0
TNP-00511,Mohamed Nejib Khila,No bloc,1,CMT-12bc734f9df1,Legislative 1,22,0,1.0
TNP-00533,Nabila Askri Snoussi,Ennahdha,1,CMT-12bc734f9df1,Legislative 1,22,0,1.0
TNP-00419,Khmais Ksila,No bloc,1,CMT-336c11e63d66,Special 2,21,0,1.0
TNP-00386,Tahar Hmila,No bloc,1,CMT-4e91930c5e8b,Constituent 2,21,0,1.0
TNP-00398,Amira Marzouk,No bloc,1,CMT-4e91930c5e8b,Constituent 2,21,0,1.0
TNP-00472,Issam Chebbi,No bloc,1,CMT-4e91930c5e8b,Constituent 2,21,0,1.0
TNP-00531,Maya Jeribi,No bloc,1,CMT-4e91930c5e8b,Constituent 2,21,0,1.0
TNP-00490,Kamel Ammar,Ennahdha,1,CMT-545e8558a206,Constituent 3,21,0,1.0
TNP-00007,Hichem Hosni,No bloc,1,CMT-4d57513fbffc,Constituent 5,20,0,1.0
TNP-00371,Ahmed Smiai,Ennahdha,1,CMT-7249209246b3,Constituent 6,20,0,1.0
TNP-00372,Ahmed Brahim,Democratic Bloc,1,CMT-7249209246b3,Constituent 6,20,0,1.0
TNP-00518,Mohamed Nizar Kacem,No bloc,1,CMT-400b91a3bed5,Special 5,20,0,1.0
